region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state,posting_date,combined,car_msrp
little rock,22495,1966,ford,mustang,good,8 cylinders,gas,72462,clean,automatic,6F07C256436,rwd,mid-size,,blue,ar,2021-04-30 21:04:44+00:00,1966.0 ford mustang,2522
modesto,45000,1966,ford,mustang gt,like new,8 cylinders,gas,59000,clean,automatic,6R07A210022,rwd,mid-size,coupe,white,ca,2021-04-17 15:18:23+00:00,1966.0 ford mustang gt,2759
augusta,47000,1966,lincoln,continental,,,gas,16000,clean,automatic,6Y86A446624,,,,,ga,2021-04-14 14:52:12+00:00,1966.0 lincoln continental,5300
grand rapids,39750,1966,chevrolet,impala ss,excellent,8 cylinders,gas,122300,clean,automatic,168376C125006,rwd,full-size,coupe,white,mi,2021-04-16 23:01:15+00:00,1966.0 chevrolet impala ss,29795
charlotte,8900,1967,ford,galaxie 500 xl,good,8 cylinders,gas,79139,clean,automatic,7N58Q121554,rwd,full-size,,black,nc,2021-05-02 18:50:15+00:00,1967.0 ford galaxie 500 xl,2800
new hampshire,39999,1967,dodge,coronet r/t,excellent,8 cylinders,gas,32421,clean,automatic,WS23LXXXXXX,rwd,,,orange,nh,2021-04-28 20:39:31+00:00,1967.0 dodge coronet r/t,20595
oklahoma city,44999,1967,chevrolet,camaro,,,other,65210,clean,automatic,0000124377N162227,,,,,ok,2021-04-14 21:44:57+00:00,1967.0 chevrolet camaro,35000
"st louis, MO",35000,1968,pontiac,firebird,excellent,8 cylinders,gas,100,clean,automatic,223378U600927,,,coupe,silver,il,2021-05-03 14:34:53+00:00,1968.0 pontiac firebird,2666
sarasota-bradenton,3150,1968,pontiac,gto,fair,8 cylinders,gas,99999,clean,automatic,242378R174761,,,coupe,red,fl,2021-04-14 20:36:50+00:00,1968.0 pontiac gto,3000
boulder,4995,1969,ford,f250 camper special,good,8 cylinders,gas,65000,clean,automatic,F25YND97385,rwd,full-size,truck,blue,co,2021-05-01 21:58:33+00:00,1969.0 ford f250 camper special,2444
ft myers / SW florida,33900,1969,lincoln,mark series continental mark iii,,8 cylinders,gas,13283,clean,automatic,9Y89A846786,rwd,,coupe,green,fl,2021-04-24 17:14:01+00:00,1969.0 lincoln mark series continental mark iii,6741
columbia,42500,1969,chevrolet,corvette,excellent,8 cylinders,gas,47000,clean,manual,194679S731257,rwd,,convertible,yellow,sc,2021-04-08 19:07:45+00:00,1969.0 chevrolet corvette,48295
columbia,15000,1971,ford,mustang,excellent,8 cylinders,gas,13500,clean,automatic,1T04F153818,rwd,full-size,coupe,blue,sc,2021-05-02 13:40:52+00:00,1971.0 ford mustang,2911
reno / tahoe,10500,1971,ford,ranchero,good,8 cylinders,gas,45653,clean,automatic,1A47H1353XX,rwd,,truck,custom,ca,2021-05-01 23:30:19+00:00,1971.0 ford ranchero,11300
san antonio,32000,1971,chevrolet,corvette,excellent,8 cylinders,gas,500,clean,automatic,5.74534E+15,rwd,full-size,coupe,red,tx,2021-04-24 17:00:15+00:00,1971.0 chevrolet corvette,33760
SF bay area,12500,1972,ford,ranchero,good,8 cylinders,gas,58000,clean,automatic,2A47S159905,rwd,full-size,truck,white,ca,2021-05-04 16:55:16+00:00,1972.0 ford ranchero,2800
north jersey,12000,1973,volkswagen,beetle,excellent,4 cylinders,gas,80839,clean,manual,1532541316,rwd,,,orange,nj,2021-05-03 12:10:10+00:00,1973.0 volkswagen beetle,2420
reno / tahoe,17000,1973,volkswagen,beetle convertible,excellent,4 cylinders,gas,95068,clean,manual,1532402117,rwd,compact,other,green,ca,2021-04-23 18:07:38+00:00,1973.0 volkswagen beetle convertible,2420
san diego,10000,1973,ford,mustang,,,gas,84000,clean,automatic,3F0IH224193,,,,,ca,2021-05-02 18:23:26+00:00,1973.0 ford mustang,2760
eastern NC,18500,1974,ford,ranger,excellent,8 cylinders,gas,71000,clean,automatic,F10GNT21535,rwd,,pickup,,nc,2021-04-30 14:27:09+00:00,1974.0 ford ranger,4070
palm springs,35000,1975,chevrolet,corvette convertible,excellent,8 cylinders,gas,19999,clean,manual,1Z67J5S411522,,,convertible,,ca,2021-04-19 21:06:28+00:00,1975.0 chevrolet corvette convertible,56200
prescott,8550,1977,chevrolet,blazer,excellent,8 cylinders,gas,99999,clean,manual,CKD187F107938,4wd,full-size,SUV,white,az,2021-04-09 15:48:53+00:00,1977.0 chevrolet blazer,21300
pensacola,10995,1979,chevrolet,corvette,good,8 cylinders,gas,92291,clean,automatic,1Z8789S432868,rwd,,,white,fl,2021-04-30 14:28:38+00:00,1979.0 chevrolet corvette,59550
charlotte,17900,1980,datsun,280zx,excellent,6 cylinders,gas,79083,clean,manual,XXXXXXHS130225598,rwd,,coupe,red,nc,2021-04-24 16:50:19+00:00,1980.0 datsun 280zx,24250
humboldt county,8000,1981,jeep,cj7,fair,6 cylinders,gas,55261,clean,manual,1JCCM87E4BT078590,,mid-size,truck,red,ca,2021-04-14 03:06:54+00:00,1981.0 jeep cj7,4495
north jersey,24900,1982,chevrolet,camaro z28,like new,8 cylinders,gas,29500,clean,automatic,1G1AP8772CN147745,rwd,,coupe,white,nj,2021-05-01 00:51:06+00:00,1982.0 chevrolet camaro z28,10099
des moines,6000,1983,jeep,cj7,fair,8 cylinders,gas,100000,clean,manual,1JCCN87E9DT057458,4wd,mid-size,offroad,white,ia,2021-05-04 17:09:32+00:00,1983.0 jeep cj7,2640
omaha / council bluffs,6995,1984,pontiac,fiero,,4 cylinders,gas,25485,clean,manual,1G2AM37R4EP239536,rwd,,coupe,black,ia,2021-04-29 18:51:36+00:00,1984.0 pontiac fiero,7999
pensacola,4500,1984,mercedes-benz,300-class,excellent,6 cylinders,diesel,186220,clean,automatic,WDBAB33A2EA118734,rwd,,sedan,,fl,2021-04-21 19:45:26+00:00,1984.0 mercedes-benz 300-class,31940
ft myers / SW florida,15000,1984,cadillac,eldorado,excellent,8 cylinders,gas,68000,clean,automatic,1G6AL5788EE657677,fwd,full-size,coupe,yellow,fl,2021-04-26 19:57:44+00:00,1984.0 cadillac eldorado,36875
rhode island,39777,1985,buick,regal grand nat,excellent,6 cylinders,gas,16389,clean,automatic,1G4GK4794FP423308,rwd,mid-size,coupe,black,ri,2021-04-18 14:36:55+00:00,1985.0 buick regal grand nat,13565
minneapolis / st paul,4495,1985,dodge,ramcharger,,8 cylinders,gas,21967,clean,automatic,1B4GW12W7FS613165,4wd,,SUV,blue,mn,2021-05-01 21:04:11+00:00,1985.0 dodge ramcharger,20925
eugene,17980,1985,nissan,300zx,good,6 cylinders,gas,48980,clean,automatic,JN1HZ14S9FX093923,rwd,,hatchback,black,or,2021-05-01 00:05:59+00:00,1985.0 nissan 300zx,27000
denver,12200,1985,chevrolet,corvette coupe,excellent,8 cylinders,gas,61550,clean,automatic,1G1YY078XF5118181,rwd,full-size,coupe,silver,co,2021-05-03 18:48:55+00:00,1985.0 chevrolet corvette coupe,34010
chicago,17988,1985,cadillac,eldorado,excellent,8 cylinders,gas,80001,clean,automatic,1G6EL5784FE660210,rwd,mid-size,coupe,red,il,2021-05-03 23:24:02+00:00,1985.0 cadillac eldorado,35590
minneapolis / st paul,5999,1985,cadillac,eldorado,excellent,,gas,62000,clean,automatic,1G6EL5783FE644340,fwd,,,,mn,2021-05-02 16:47:24+00:00,1985.0 cadillac eldorado,54670
charlotte,25995,1985,chevrolet,blazer,excellent,,gas,132543,clean,automatic,1G8EK18L0FF104783,,,SUV,black,nc,2021-04-16 16:00:32+00:00,1985.0 chevrolet blazer,55995
bend,5995,1986,pontiac,fiero gt,,,gas,105000,clean,automatic,1G2PG9792GP257816,,,,,or,2021-04-23 21:26:29+00:00,1986.0 pontiac fiero gt,12875
orlando,12998,1986,chevrolet,corvette,excellent,8 cylinders,gas,87222,clean,automatic,1G1YY6788G5902525,,,,black,fl,2021-04-27 12:39:24+00:00,1986.0 chevrolet corvette,22555
south coast,2000,1986,alfa-romeo,remeo,fair,4 cylinders,gas,104000,clean,manual,ZARBA541XG1044328,rwd,compact,convertible,red,ma,2021-04-28 17:42:14+00:00,1986.0 alfa-romeo remeo,23000
san luis obispo,3000,1986,chevrolet,suburban,fair,,gas,112100,clean,automatic,1G8GC26W0GF208698,,,,,ca,2021-04-14 23:02:02+00:00,1986.0 chevrolet suburban,39145
los angeles,32750,1986,mercedes-benz,560-class,,,gas,65679,clean,automatic,WDBBA48D8GA044237,,,,,ca,2021-05-04 19:58:37+00:00,1986.0 mercedes-benz 560-class,53950
vermont,3000,1987,ford,econoline,good,6 cylinders,gas,125000,clean,automatic,1FTJE34H1HHB17624,,,SUV,grey,vt,2021-05-02 13:23:25+00:00,1987.0 ford econoline,10849
oklahoma city,14999,1987,ford,bronco ii,,6 cylinders,gas,64566,clean,automatic,1FMCU14T7HUC26743,,,,silver,ok,2021-04-17 17:05:03+00:00,1987.0 ford bronco ii,12512
orange county,32500,1987,volkswagen,vanagon,excellent,4 cylinders,gas,177313,clean,automatic,WV2YB0253HH091608,rwd,mid-size,mini-van,blue,ca,2021-05-04 18:21:37+00:00,1987.0 volkswagen vanagon,14000
austin,12900,1987,porsche,924,,4 cylinders,gas,47096,clean,manual,WP0AA0923HN450813,rwd,,coupe,,tx,2021-04-25 17:10:32+00:00,1987.0 porsche 924,20000
inland empire,21000,1987,chevrolet,elcamino,like new,8 cylinders,gas,140000,clean,automatic,3GCCW80H3HS906387,fwd,full-size,pickup,white,ca,2021-04-29 19:58:44+00:00,1987.0 chevrolet elcamino,22600
south jersey,19000,1987,chevrolet,el camino,good,8 cylinders,gas,15450,clean,automatic,3GCCW80H2HS906395,rwd,full-size,truck,custom,nj,2021-04-24 00:30:07+00:00,1987.0 chevrolet el camino,24575
new haven,4595,1987,cadillac,seville,like new,8 cylinders,gas,46000,clean,automatic,1G6KS5188HU807135,fwd,mid-size,sedan,blue,ct,2021-04-22 04:18:16+00:00,1987.0 cadillac seville,41590
sacramento,13900,1988,nissan,300zx,excellent,6 cylinders,gas,40720,clean,manual,JN1HZ14S0JX271792,rwd,,coupe,red,ca,2021-05-01 23:30:43+00:00,1988.0 nissan 300zx,4840
altoona-johnstown,16900,1988,ford,bronco ii,,6 cylinders,gas,120000,clean,automatic,1FMCU14T6JUD61735,4wd,,SUV,red,pa,2021-04-24 18:13:08+00:00,1988.0 ford bronco ii,12000
wyoming,8000,1988,ford,f-150,excellent,8 cylinders,gas,79000,clean,manual,1FTEF14N6JPA32184,4wd,full-size,truck,blue,wy,2021-05-02 16:38:03+00:00,1988.0 ford f-150,15500
treasure coast,4490,1988,ford,mustang,good,4 cylinders,gas,150000,clean,automatic,1FABP41A9JF277897,rwd,,,,fl,2021-05-01 11:42:19+00:00,1988.0 ford mustang,16610
portland,14995,1988,chevrolet,corvette,good,8 cylinders,gas,42426,clean,automatic,1G1YY3185J5121928,rwd,compact,coupe,white,or,2021-05-03 17:45:26+00:00,1988.0 chevrolet corvette,29955
lubbock,3900,1989,dodge,shadow,excellent,4 cylinders,gas,70000,clean,automatic,1B3BP44DXKN663432,fwd,full-size,coupe,red,tx,2021-05-01 18:02:31+00:00,1989.0 dodge shadow,6495
los angeles,17750,1989,mercedes-benz,560-class,,,gas,143000,clean,automatic,WDBBA48D5KA096188,,,,,ca,2021-05-04 19:49:28+00:00,1989.0 mercedes-benz 560-class,8250
norfolk / hampton roads,6500,1989,ford,mustang,,,gas,104000,clean,automatic,1FABP42E9KF304082,,,,,va,2021-04-23 05:16:14+00:00,1989.0 ford mustang,13272
modesto,6000,1989,toyota,cressida,excellent,6 cylinders,gas,169000,clean,automatic,JT2MX83E7K0018221,rwd,,sedan,,ca,2021-04-28 20:38:11+00:00,1989.0 toyota cressida,21498
san diego,8500,1989,cadillac,allante,,8 cylinders,gas,70085,clean,automatic,1G6VR3184KU101980,fwd,,convertible,white,ca,2021-05-04 17:25:02+00:00,1989.0 cadillac allante,57183
columbus,26785,1989,mercedes-benz,500-class,,8 cylinders,gas,105999,clean,automatic,WDBBA48D1KA094163,rwd,,,red,oh,2021-04-30 10:18:33+00:00,1989.0 mercedes-benz 500-class,83000
south florida,29900,1990,mercedes-benz,560sec,like new,8 cylinders,gas,75300,clean,automatic,WDBCA45E3LA546357,rwd,,coupe,black,fl,2021-04-30 20:54:44+00:00,1990.0 mercedes-benz 560sec,12210
des moines,3995,1990,buick,reatta,good,6 cylinders,gas,97066,rebuilt,automatic,1G4EC13C3LB903191,fwd,mid-size,coupe,custom,ia,2021-04-16 14:50:07+00:00,1990.0 buick reatta,27065
space coast,750,1990,mercedes-benz,benz 420sel,fair,8 cylinders,gas,270000,clean,automatic,WDBCA35E4LA539377,rwd,full-size,sedan,grey,fl,2021-04-14 23:24:14+00:00,1990.0 mercedes-benz benz 420sel,64700
san diego,10995,1991,jeep,cherokee sport 2 door,,,gas,119000,clean,manual,1J4FT87S6ML537087,,,,,ca,2021-05-01 16:39:55+00:00,1991.0 jeep cherokee sport 2 door,13871
colorado springs,5999,1991,mitsubishi,3000gt,,6 cylinders,gas,220747,clean,manual,JA3XD64B6MY026464,fwd,,other,red,co,2021-04-09 21:04:56+00:00,1991.0 mitsubishi 3000gt,16205
pensacola,10995,1991,cadillac,brougham,good,8 cylinders,gas,26002,clean,automatic,1G6DW5470MR721542,rwd,,sedan,silver,fl,2021-04-30 14:28:39+00:00,1991.0 cadillac brougham,30225
lincoln,6700,1991,toyota,4runner 4x4,good,6 cylinders,gas,156000,clean,automatic,JT3VN39W9M8024311,4wd,mid-size,SUV,blue,ne,2021-04-27 00:35:21+00:00,1991.0 toyota 4runner 4x4,41490
winston-salem,6000,1991,chevrolet,s-10,good,4 cylinders,gas,105000,clean,automatic,1GCCT14ZXM8250209,4wd,mid-size,truck,blue,nc,2021-04-27 02:25:41+00:00,1991.0 chevrolet s-10,67840
brainerd,2500,1992,buick,roadmaster limited,good,8 cylinders,gas,128702,clean,automatic,1G4BT5378NR429049,rwd,full-size,sedan,white,mn,2021-05-04 23:08:09+00:00,1992.0 buick roadmaster limited,13471
portland,39599,1992,toyota,land cruiser hdj81 - 80 series,,,diesel,180000,,automatic,00000HDJ810018347,,full-size,SUV,,or,2021-05-04 00:02:29+00:00,1992.0 toyota land cruiser hdj81 - 80 series,14000
orange county,1880,1992,volvo,740,good,4 cylinders,gas,183553,clean,automatic,YV1FW871XN2353728,rwd,,wagon,,ca,2021-04-30 04:50:32+00:00,1992.0 volvo 740,15000
medford-ashland,2734,1992,buick,roadmaster,,,,127513,,,421025,,,,,or,2021-04-19 20:05:01+00:00,1992.0 buick roadmaster,26298
vermont,7000,1992,mercedes-benz,600sel,good,12 cylinders,gas,147000,clean,automatic,WDBGA57E9NA063074,rwd,full-size,sedan,grey,vt,2021-04-05 21:44:56+00:00,1992.0 mercedes-benz 600sel,142915
springfield,3975,1993,jeep,wrangler,fair,4 cylinders,gas,232888,clean,manual,1J4FY19P6PP224667,4wd,mid-size,SUV,blue,mo,2021-05-01 16:25:52+00:00,1993.0 jeep wrangler,10925
portland,8995,1993,ford,f-150,excellent,,gas,129156,clean,automatic,1FTEX14H3PKB08540,4wd,,,red,or,2021-05-04 22:30:11+00:00,1993.0 ford f-150,11967
ft myers / SW florida,9997,1993,harley-davidson,fxst,,,,3389,clean,other,1HD1BKL14PY012418,,,,,fl,2021-05-02 18:00:31+00:00,1993.0 harley-davidson fxst,12170
milwaukee,3890,1993,mercury,capri,good,4 cylinders,gas,130712,clean,automatic,6MPCT01Z2P8640751,fwd,compact,convertible,black,wi,2021-05-02 16:23:27+00:00,1993.0 mercury capri,12588
eugene,5999,1993,toyota,t100,excellent,6 cylinders,gas,148700,clean,automatic,JT4VD10C7P0010559,rwd,full-size,truck,custom,or,2021-04-27 00:27:56+00:00,1993.0 toyota t100,14000
atlanta,7500,1993,mazda,mx-5 miata,excellent,,gas,129900,clean,manual,JM1NA3515P0403097,,,,,ga,2021-05-03 00:15:43+00:00,1993.0 mazda mx-5 miata,14500
ventura county,13500,1993,honda,civic del sol si,good,4 cylinders,gas,56505,clean,manual,JHMEH6165PS014932,fwd,compact,coupe,red,ca,2021-04-28 02:33:57+00:00,1993.0 honda civic del sol si,15310
denver,2988,1993,ford,explorer xlt 4dr xlt,,6 cylinders,gas,128071,clean,automatic,1FMDU34X9PUD52121,4wd,,SUV,,co,2021-05-03 18:30:23+00:00,1993.0 ford explorer xlt 4dr xlt,20195
seattle-tacoma,9495,1993,volkswagen,eurovan mv weekender bus 5 speed manual rear bed,,5 cylinders,gas,178944,clean,manual,WV2MC0700PH050537,fwd,,van,blue,wa,2021-05-05 03:14:22+00:00,1993.0 volkswagen eurovan mv weekender bus 5 speed manual rear bed,24000
boulder,16400,1993,volkswagen,eurovan weekender,good,5 cylinders,gas,169000,clean,manual,WV2MC0703PH037118,,,,green,co,2021-05-01 21:18:59+00:00,1993.0 volkswagen eurovan weekender,24500
boston,16995,1993,chevrolet,corvette,excellent,,gas,66079,clean,automatic,1G1YY33P1P5113502,rwd,,convertible,,ma,2021-05-01 13:35:39+00:00,1993.0 chevrolet corvette,32805
flagstaff / sedona,5995,1993,buick,roadmaster base,good,8 cylinders,gas,134142,clean,automatic,1G4BN5372PR402023,,,sedan,,az,2021-04-29 15:11:07+00:00,1993.0 buick roadmaster base,36500
medford-ashland,13995,1994,chevrolet,3500 hd,,,gas,84233,clean,manual,1GBKC348NRJ10914,,,,white,or,2021-04-12 14:50:34+00:00,1994.0 chevrolet 3500 hd,16120
harrisonburg,5990,1994,ford,club wagon,excellent,8 cylinders,gas,124818,clean,automatic,1FBHE31G6RHA80778,fwd,full-size,van,brown,va,2021-05-01 17:59:16+00:00,1994.0 ford club wagon,18332
lexington,950,1994,dodge,caravan se,fair,6 cylinders,gas,163521,clean,automatic,2B4GH45R1RR739433,fwd,,mini-van,blue,ky,2021-05-01 19:14:01+00:00,1994.0 dodge caravan se,25195
nashville,13000,1994,pontiac,trans am,excellent,8 cylinders,gas,97000,clean,manual,2G2FV22P8R2232511,rwd,mid-size,coupe,white,tn,2021-04-29 01:36:56+00:00,1994.0 pontiac trans am,26969
pittsburgh,5800,1994,buick,park avenue,excellent,6 cylinders,gas,130000,clean,automatic,1G4CW52L4RH606654,fwd,full-size,sedan,green,pa,2021-04-23 15:04:21+00:00,1994.0 buick park avenue,27164
las vegas,23995,1994,bmw,m3,excellent,,gas,74105,clean,manual,C38207,,,coupe,,nv,2021-05-04 21:15:15+00:00,1994.0 bmw m3,35800
northwest CT,6995,1994,mercedes-benz,sl320,good,6 cylinders,gas,116100,clean,automatic,WDBFA63E9RF095071,rwd,,convertible,silver,ct,2021-04-26 18:59:40+00:00,1994.0 mercedes-benz sl320,83000
birmingham,2500,1995,bmw,525i,fair,6 cylinders,gas,110661,clean,automatic,WBAHD6322SGK86772,rwd,mid-size,sedan,white,al,2021-05-03 21:03:27+00:00,1995.0 bmw 525i,4950
seattle-tacoma,15995,1995,ford,f-350 chassis cab,excellent,,gas,92000,clean,automatic,2FDKF38FXSCA72705,4wd,,,white,wa,2021-05-04 23:30:41+00:00,1995.0 ford f-350 chassis cab,9500
greenville / upstate,2450,1995,ford,ranger,good,6 cylinders,gas,284366,clean,automatic,1FTCR10U9SUC11964,rwd,full-size,truck,white,sc,2021-04-05 21:03:50+00:00,1995.0 ford ranger,10709
las vegas,2600,1995,toyota,tacoma,fair,4 cylinders,gas,168000,clean,manual,4TAUN41BXSZ001208,rwd,,truck,black,nv,2021-05-04 01:30:45+00:00,1995.0 toyota tacoma,11848
indianapolis,3995,1995,ford,f-150,,,gas,187987,clean,automatic,1FTEF15N0SNB56270,rwd,,,white,in,2021-04-10 13:56:55+00:00,1995.0 ford f-150,13287
phoenix,12995,1995,ford,other,excellent,,diesel,230000,clean,automatic,1FDWF80C3SVA53956,rwd,full-size,,white,az,2021-05-04 17:00:48+00:00,1995.0 ford other,13902
eastern NC,3000,1995,ford,ranger xlt,good,6 cylinders,gas,199982,clean,manual,1FTCR10A6STA10907,4wd,mid-size,truck,red,nc,2021-05-03 17:40:39+00:00,1995.0 ford ranger xlt,14709
eugene,8966,1995,ford,mustang convertible power top automatic local clean carfax,,6 cylinders,gas,69076,clean,automatic,1FALP4449SF156153,rwd,,convertible,red,or,2021-04-30 21:03:18+00:00,1995.0 ford mustang convertible power top automatic local clean carfax,21495
mansfield,12995,1995,pontiac,firebird trans am,good,8 cylinders,other,119051,clean,automatic,2G2FV32P4S2224157,,,coupe,,oh,2021-04-24 10:20:19+00:00,1995.0 pontiac firebird trans am,26685
wichita,8995,1995,chevrolet,silverado,good,8 cylinders,gas,118000,clean,automatic,1GCEK19K6SE248804,4wd,full-size,truck,silver,ks,2021-04-29 15:13:39+00:00,1995.0 chevrolet silverado,36440
sarasota-bradenton,8990,1995,dodge,dakota,excellent,6 cylinders,gas,121500,clean,manual,1B7GL23XXSW948142,,mid-size,pickup,grey,fl,2021-05-01 14:30:25+00:00,1995.0 dodge dakota,42895
milwaukee,3250,1996,toyota,camry,excellent,4 cylinders,gas,178000,clean,automatic,4T1BG12K7TU776756,fwd,,sedan,,wi,2021-05-02 16:19:28+00:00,1996.0 toyota camry,12900
memphis,5999,1996,ford,f-150 special,,8 cylinders,gas,215259,clean,automatic,1FTEF15NXTLA35873,rwd,,,blue,tn,2021-04-30 03:02:02+00:00,1996.0 ford f-150 special,14150
huntsville / decatur,2950,1996,ford,explorer xlt,good,6 cylinders,gas,218822,clean,automatic,1FMDU32X9TUC79653,rwd,mid-size,SUV,red,al,2021-04-13 02:10:35+00:00,1996.0 ford explorer xlt,26140
minneapolis / st paul,1995,1996,chevrolet,tahoe ls,good,,gas,230242,clean,automatic,1GNEK13R5TJ369829,4wd,,,blue,mn,2021-05-03 21:01:12+00:00,1996.0 chevrolet tahoe ls,26345
long island,14000,1996,chevrolet,p30,excellent,6 cylinders,gas,230000,clean,automatic,1GBGP32W9T3310913,rwd,,,grey,ny,2021-04-28 10:02:24+00:00,1996.0 chevrolet p30,34500
lehigh valley,3600,1996,chrysler,sebring jxi convertible,good,6 cylinders,gas,58000,clean,automatic,3C3EL45H6TT322950,fwd,mid-size,convertible,red,pa,2021-04-30 13:36:32+00:00,1996.0 chrysler sebring jxi convertible,40545
orange county,9100,1996,toyota,4runner sr5 4x4,,6 cylinders,gas,189000,clean,automatic,JT3HN86RXT0032049,4wd,,,,ca,2021-05-02 19:38:59+00:00,1996.0 toyota 4runner sr5 4x4,41490
st augustine,5400,1996,chevrolet,silverado 1500,good,8 cylinders,gas,123610,clean,automatic,2GCEC19MXT1148870,rwd,full-size,pickup,blue,fl,2021-04-30 21:04:42+00:00,1996.0 chevrolet silverado 1500,46000
philadelphia,7500,1997,bmw,3-series,,,gas,61189,clean,manual,4USCH7322VLB82637,,,convertible,blue,pa,2021-04-27 17:20:18+00:00,1997.0 bmw 3-series,2420
fort collins / north CO,2500,1997,subaru,legacy outback,good,4 cylinders,gas,223800,clean,automatic,4S3BG6859V7638284,4wd,full-size,mini-van,red,co,2021-04-17 19:24:45+00:00,1997.0 subaru legacy outback,2640
inland empire,10000,1997,land rover,discovery i,excellent,8 cylinders,gas,117117,clean,automatic,SALJY1244VA728045,4wd,mid-size,offroad,red,ca,2021-05-04 15:17:49+00:00,1997.0 land rover discovery i,3410
seattle-tacoma,3999,1997,volvo,960,,6 cylinders,gas,171570,clean,automatic,YV1KS9606V1110934,rwd,,sedan,purple,wa,2021-05-03 19:00:55+00:00,1997.0 volvo 960,3960
flagstaff / sedona,14500,1997,jeep,wrangler tj,excellent,6 cylinders,gas,122396,clean,automatic,1J4FY19S4VP429776,4wd,mid-size,,grey,az,2021-05-01 00:23:05+00:00,1997.0 jeep wrangler tj,13470
central michigan,2250,1997,ford,f-150,fair,6 cylinders,gas,122156,clean,automatic,2FTDX1726VCA77403,rwd,full-size,pickup,green,mi,2021-04-30 19:14:50+00:00,1997.0 ford f-150,14505
spokane / coeur d'alene,5990,1997,jeep,cherokee,,,gas,193452,clean,automatic,1J4FJ27P1VL588660,4wd,full-size,SUV,white,id,2021-04-29 14:24:18+00:00,1997.0 jeep cherokee,15300
grand rapids,2500,1997,chevrolet,silverado 1500,good,6 cylinders,gas,262997,clean,automatic,1GCEC14W6VZ102729,rwd,full-size,pickup,blue,mi,2021-04-15 18:07:56+00:00,1997.0 chevrolet silverado 1500,15840
